Movies	recommendation
Dead Man Walking (1995) , Lone Star (1996) , In & Out (1997) , English Patient, The (1996)	"['Cliffhanger (1993)', 'Ace Ventura: Pet Detective (1994)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Outbreak (1995)', 'Apocalypse Now (1979)', 'Incredibles, The (2004)', 'Memento (2000)']"
Schindler's List (1993) , Sling Blade (1996) , Forrest Gump (1994) , Great Escape, The (1963)	"[""Schindler's List (1993)"", 'Cliffhanger (1993)', 'Babe (1995)', 'Saving Private Ryan (1998)', 'Aladdin (1992)', 'Memento (2000)', 'Godfather, The (1972)', 'Good Will Hunting (1997)']"
Toy Story (1995) , Crying Game, The (1992) , Gandhi (1982) , Mrs. Doubtfire (1993)	"['Outbreak (1995)', 'Kill Bill: Vol. 2 (2004)', 'Incredibles, The (2004)', 'Finding Nemo (2003)', 'Twister (1996)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Star Trek: Generations (1994)']"
Philadelphia Story, The (1940) , Like Water For Chocolate (Como agua para chocolate) (1992) , Everyone Says I Love You (1996) , Muriel's Wedding (1994)	['Departed, The (2006)', 'Up (2009)', 'Clear and Present Danger (1994)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Dark Knight, The (2008)', 'Donnie Darko (2001)']
Godfather, The (1972) , Sound of Music, The (1965) , Birds, The (1963) , Princess Bride, The (1987)	"[""Schindler's List (1993)"", 'Truman Show, The (1998)', 'Rock, The (1996)', 'Godfather: Part II, The (1974)', 'Four Weddings and a Funeral (1994)', 'Godfather, The (1972)', 'Finding Nemo (2003)']"
Reservoir Dogs (1992) , To Be or Not to Be (1942) , Once Upon a Time in the West (1969) , Paths of Glory (1957)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Star Wars: Episode IV - A New Hope (1977)', 'Apocalypse Now (1979)', 'Dances with Wolves (1990)', ""Ocean's Eleven (2001)"", 'Shrek (2001)']"
Toy Story (1995) ,  Time to Kill, A (1996)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Scream (1996) , Silence of the Lambs, The (1991) , Bram Stoker's Dracula (1992) , Star Wars (1977)	['Memento (2000)', 'Aliens (1986)', 'Outbreak (1995)', 'Interview with the Vampire: The Vampire Chronicles (1994)']
Godfather: Part II, The (1974) ,  Seven (Se7en) (1995)	['Godfather, The (1972)', 'Interview with the Vampire: The Vampire Chronicles (1994)']
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) , Raise the Red Lantern (1991) , Roman Holiday (1953) , Casablanca (1942)	"[""Ferris Bueller's Day Off (1986)"", 'Willy Wonka & the Chocolate Factory (1971)', 'Dark Knight, The (2008)', 'Braveheart (1995)']"
Chinatown (1974) ,  Raiders of the Lost Ark (1981)	['Inception (2010)', 'Jumanji (1995)']
One Flew Over the Cuckoo's Nest (1975) , Deer Hunter, The (1978) , Hoop Dreams (1994) , Dances with Wolves (1990)	['Clockwork Orange, A (1971)', 'Inception (2010)', 'WALL·E (2008)', 'Titanic (1997)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Memento (2000)', 'Eternal Sunshine of the Spotless Mind (2004)']
Ulee's Gold (1997) , Ice Storm, The (1997) , L.A. Confidential (1997) , Cop Land (1997)	"['Godfather, The (1972)', 'American History X (1998)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Outbreak (1995)', ""Ferris Bueller's Day Off (1986)"", 'Catch Me If You Can (2002)', 'Up (2009)', 'Sixth Sense, The (1999)']"
Wag the Dog (1997) ,  Paradise Lost: The Child Murders at Robin Hood Hills (1996) ,  Jackie Brown (1997)	['Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Finding Nemo (2003)']
Mrs. Brown (Her Majesty, Mrs. Brown) (1997) , Hurricane Streets (1998) , Rock, The (1996) , Dangerous Beauty (1998)	['Heat (1995)', 'Groundhog Day (1993)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Trek: Generations (1994)']
Young Frankenstein (1974) ,  Casablanca (1942)	['Truman Show, The (1998)', 'Aladdin (1992)']
Schindler's List (1993) , Princess Bride, The (1987) , Pulp Fiction (1994) , Leaving Las Vegas (1995)	"['Kill Bill: Vol. 1 (2003)', 'Truman Show, The (1998)', 'Saving Private Ryan (1998)', 'Four Weddings and a Funeral (1994)', ""Ocean's Eleven (2001)"", 'Godfather, The (1972)', 'Fight Club (1999)', 'Finding Nemo (2003)']"
Starship Troopers (1997) ,  Contact (1997)	['Heat (1995)', 'GoldenEye (1995)']
Apollo 13 (1995) ,  Cat on a Hot Tin Roof (1958)	['Full Metal Jacket (1987)', 'Outbreak (1995)']
Schindler's List (1993) , Babe (1995) , Good Will Hunting (1997) , American President, The (1995)	['E.T. the Extra-Terrestrial (1982)', 'Back to the Future (1985)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Gladiator (2000)', 'Saving Private Ryan (1998)', 'GoldenEye (1995)', 'Catch Me If You Can (2002)', 'Godfather, The (1972)']
Fargo (1996) ,  Cool Hand Luke (1967)	['Apocalypse Now (1979)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Fear (1996) ,  Career Girls (1997)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Spider-Man (2002)']
Wings of the Dove, The (1997) , Jerry Maguire (1996) , Good Will Hunting (1997) , Star Wars (1977)	"['Willy Wonka & the Chocolate Factory (1971)', 'Beauty and the Beast (1991)', 'GoldenEye (1995)', 'Catch Me If You Can (2002)', ""Ferris Bueller's Day Off (1986)"", 'Monty Python and the Holy Grail (1975)']"
Spawn (1997) , Kolya (1996) , Mrs. Dalloway (1997) , Keys to Tulsa (1997)	"['Full Metal Jacket (1987)', 'Truman Show, The (1998)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Clueless (1995)']"
Apt Pupil (1998) ,  Saint, The (1997)	['Beauty and the Beast (1991)', 'Harry Potter and the Chamber of Secrets (2002)']
Willy Wonka and the Chocolate Factory (1971) ,  Shawshank Redemption, The (1994)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
L.A. Confidential (1997) , English Patient, The (1996) , Boogie Nights (1997) , Full Monty, The (1997)	"['Alien (1979)', 'Ace Ventura: Pet Detective (1994)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Harry Potter and the Chamber of Secrets (2002)', 'Apocalypse Now (1979)', 'Catch Me If You Can (2002)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']"
When Harry Met Sally... (1989) ,  GoodFellas (1990)	"['Ghost (1990)', ""Schindler's List (1993)""]"
Raising Arizona (1987) ,  GoodFellas (1990)	['WALL·E (2008)', 'Departed, The (2006)']
Twister (1996) , Mr. Holland's Opus (1995) , Jerry Maguire (1996) , Star Wars (1977)	"['Star Wars: Episode I - The Phantom Menace (1999)', 'Beauty and the Beast (1991)', 'Forrest Gump (1994)', 'Outbreak (1995)', 'Independence Day (a.k.a. ID4) (1996)', ""Ferris Bueller's Day Off (1986)""]"
Star Maps (1997) , Life Less Ordinary, A (1997) , Starship Troopers (1997) , Ma vie en rose (My Life in Pink) (1997)	['Goodfellas (1990)', 'Heat (1995)', 'GoldenEye (1995)', 'Catch Me If You Can (2002)']
Toy Story (1995) , Rudy (1993) , Adventures of Robin Hood, The (1938) , My Fair Lady (1964)	"[""Schindler's List (1993)"", 'Four Weddings and a Funeral (1994)', 'Monsters, Inc. (2001)', 'Incredibles, The (2004)', 'Big Lebowski, The (1998)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Terminator, The (1984)', 'Finding Nemo (2003)']"
Citizen Kane (1941) ,  Killing Fields, The (1984)	['Lord of the Rings: The Two Towers, The (2002)', 'Taxi Driver (1976)']
Toy Story (1995) , Some Like It Hot (1959) , My Fair Lady (1964) , Apollo 13 (1995)	"[""Schindler's List (1993)"", 'Aladdin (1992)', 'Outbreak (1995)', 'Full Metal Jacket (1987)', 'Incredibles, The (2004)', 'Big Lebowski, The (1998)', 'Finding Nemo (2003)']"
Primal Fear (1996) , Fargo (1996) , Contact (1997) , Leaving Las Vegas (1995)	"['American Pie (1999)', 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', 'Aliens (1986)', ""Ocean's Eleven (2001)"", 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Clear and Present Danger (1994)', 'X-Men (2000)']"
Portrait of a Lady, The (1996) , Contact (1997) , Crash (1996) , Fifth Element, The (1997)	['American Pie (1999)', 'Babe (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Spider-Man (2002)', 'WALL·E (2008)', 'Independence Day (a.k.a. ID4) (1996)', 'Batman Begins (2005)', 'Clear and Present Danger (1994)']
Toy Story (1995) ,  English Patient, The (1996) ,  People vs. Larry Flynt, The (1996)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Soul Food (1997) ,  Love! Valour! Compassion! (1997)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Peacemaker, The (1997) ,  Titanic (1997)	['Dark Knight, The (2008)', 'Donnie Darko (2001)']
Three Colors: Red (1994) ,  Piano, The (1993) ,  All About Eve (1950)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Heat (1995) ,  English Patient, The (1996)	['Aliens (1986)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)']
To Kill a Mockingbird (1962) , Schindler's List (1993) , Seventh Seal, The (Sjunde inseglet, Det) (1957) , Secret of Roan Inish, The (1994)	['Ghost (1990)', 'Clueless (1995)', 'Ace Ventura: Pet Detective (1994)', 'Saving Private Ryan (1998)', 'Twister (1996)', 'Departed, The (2006)', 'Godfather, The (1972)']
Eye for an Eye (1996) , Family Thing, A (1996) , Nutty Professor, The (1996) , Matilda (1996)	['Forrest Gump (1994)', 'Outbreak (1995)', 'Waterworld (1995)', 'Heat (1995)', 'Net, The (1995)', 'X-Men (2000)']
Blade Runner (1982) , Glengarry Glen Ross (1992) , Reservoir Dogs (1992) , 2001: A Space Odyssey (1968)	"['Clockwork Orange, A (1971)', 'Taxi Driver (1976)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Apocalypse Now (1979)', 'Full Metal Jacket (1987)', ""Ocean's Eleven (2001)"", 'Groundhog Day (1993)', 'Terminator, The (1984)']"
Washington Square (1997) ,  U Turn (1997)	['Shawshank Redemption, The (1994)', 'Toy Story (1995)']
Saint, The (1997) ,  Fallen (1998) ,  Conspiracy Theory (1997)	['Jumanji (1995)', 'Sleepless in Seattle (1993)']
Shawshank Redemption, The (1994) , Kicking and Screaming (1995) , Better Off Dead... (1985) , Empire Strikes Back, The (1980)	"[""Schindler's List (1993)"", 'Gladiator (2000)', 'Inception (2010)', 'Four Weddings and a Funeral (1994)', ""Ocean's Eleven (2001)"", 'Green Mile, The (1999)']"
Birdcage, The (1996) ,  Jerry Maguire (1996)	['Inception (2010)', 'Mrs. Doubtfire (1993)']
In & Out (1997) ,  Mad City (1997)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Outbreak (1995)']"
Contact (1997) , Postino, Il (1994) , Romy and Michele's High School Reunion (1997) , Saint, The (1997)	['American Pie (1999)', 'Taxi Driver (1976)', 'Beauty and the Beast (1991)', 'Jumanji (1995)', 'Sleepless in Seattle (1993)', 'Clear and Present Danger (1994)']
Toy Story (1995) , Black Sheep (1996) , Lost Highway (1997) , Othello (1995)	['Batman Forever (1995)', 'Ace Ventura: Pet Detective (1994)', 'Full Metal Jacket (1987)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Departed, The (2006)', 'Dark Knight, The (2008)', 'Finding Nemo (2003)']
Brazil (1985) ,  Annie Hall (1977) ,  In the Company of Men (1997)	['Clockwork Orange, A (1971)', 'Departed, The (2006)']
Searching for Bobby Fischer (1993) , Raising Arizona (1987) , Glory (1989) , E.T. the Extra-Terrestrial (1982)	"['Willy Wonka & the Chocolate Factory (1971)', 'Lord of the Rings: The Two Towers, The (2002)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Departed, The (2006)', 'Memento (2000)', 'Net, The (1995)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]"
Spice World (1997) ,  Saint, The (1997)	['Die Hard: With a Vengeance (1995)', 'Sixth Sense, The (1999)']
Conan the Barbarian (1981) , Empire Strikes Back, The (1980) , Clerks (1994) , Much Ado About Nothing (1993)	"['Four Weddings and a Funeral (1994)', ""Ocean's Eleven (2001)"", 'WALL·E (2008)', 'Harry Potter and the Chamber of Secrets (2002)']"
Toy Story (1995) , Godfather, The (1972) , Leaving Las Vegas (1995) , Fargo (1996)	"[""Schindler's List (1993)"", 'Godfather: Part II, The (1974)', 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Incredibles, The (2004)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Finding Nemo (2003)']"
Phenomenon (1996) ,  My Best Friend's Wedding (1997)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Outbreak (1995)']
Toy Story (1995) ,  Cyrano de Bergerac (1990)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Bridge on the River Kwai, The (1957) , Local Hero (1983) , Rebel Without a Cause (1955) , African Queen, The (1951)	['Trainspotting (1996)', 'Godfather: Part II, The (1974)', 'Saving Private Ryan (1998)', 'Four Weddings and a Funeral (1994)', 'Fugitive, The (1993)', 'Lord of the Rings: The Two Towers, The (2002)', 'WALL·E (2008)', 'Catch Me If You Can (2002)']
Blade Runner (1982) , Schindler's List (1993) , Sling Blade (1996) , Bullets Over Broadway (1994)	['Godfather, The (1972)', 'Cliffhanger (1993)', 'Inception (2010)', 'Saving Private Ryan (1998)', 'Full Metal Jacket (1987)', 'Memento (2000)', 'Terminator, The (1984)', 'Green Mile, The (1999)']
Empire Strikes Back, The (1980) , Kama Sutra: A Tale of Love (1996) , Mallrats (1995) , Farewell My Concubine (1993)	['Back to the Future (1985)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Little Women (1994) , Conspiracy Theory (1997) , Devil's Own, The (1997) , Anastasia (1997)	['Goodfellas (1990)', '2001: A Space Odyssey (1968)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Catch Me If You Can (2002)', 'Up (2009)', 'Donnie Darko (2001)']
12 Angry Men (1957) , As Good As It Gets (1997) , Wedding Singer, The (1998) , Wag the Dog (1997)	['American Pie (1999)', 'Taxi Driver (1976)', 'Crimson Tide (1995)', 'Outbreak (1995)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Finding Nemo (2003)']
McHale's Navy (1997) ,  Flubber (1997) ,  Jungle2Jungle (1997)	['Willy Wonka & the Chocolate Factory (1971)', 'Donnie Darko (2001)']
Toy Story (1995) ,  As Good As It Gets (1997)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Apollo 13 (1995) ,  Truth About Cats & Dogs, The (1996)	['Full Metal Jacket (1987)', 'Outbreak (1995)']
Spitfire Grill, The (1996) , 2001: A Space Odyssey (1968) , Lawrence of Arabia (1962) , Godfather, The (1972)	"[""Schindler's List (1993)"", 'Clockwork Orange, A (1971)', 'Taxi Driver (1976)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'Godfather: Part II, The (1974)', 'WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Princess Bride, The (1987)']"
Fargo (1996) ,  People vs. Larry Flynt, The (1996)	['Apocalypse Now (1979)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Time to Kill, A (1996) , Return of the Jedi (1983) , Lost World: Jurassic Park, The (1997) , Fifth Element, The (1997)	['Cliffhanger (1993)', 'GoldenEye (1995)', 'Spider-Man (2002)', 'Kill Bill: Vol. 2 (2004)', 'Batman Begins (2005)', 'Star Trek: Generations (1994)']
English Patient, The (1996) ,  Face/Off (1997)	['Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)']
People vs. Larry Flynt, The (1996) ,  Star Wars (1977)	['Truman Show, The (1998)', 'Fugitive, The (1993)']
Toy Story (1995)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Chasing Amy (1997) , Fargo (1996) , Chasing Amy (1997) , Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	['Clockwork Orange, A (1971)', 'Back to the Future (1985)', 'Crimson Tide (1995)', 'Apocalypse Now (1979)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)']
Magnificent Seven, The (1954) , Nikita (La Femme Nikita) (1990) , Unbearable Lightness of Being, The (1988) , Cinema Paradiso (1988)	"['Beauty and the Beast (1991)', ""Ocean's Eleven (2001)""]"
Desperate Measures (1998) , Deceiver (1997) , George of the Jungle (1997) , Assignment, The (1997)	['Net, The (1995)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Star Trek: Generations (1994)']
American Werewolf in London, An (1981) , Taxi Driver (1976) , Game, The (1997) , Cop Land (1997)	"['American History X (1998)', '2001: A Space Odyssey (1968)', 'GoldenEye (1995)', 'Full Metal Jacket (1987)', 'Jumanji (1995)', 'Departed, The (2006)', ""Ferris Bueller's Day Off (1986)"", 'Heat (1995)']"
Star Wars (1977) , Edge, The (1997) , Phenomenon (1996) , Toy Story (1995)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Lord of the Rings: The Two Towers, The (2002)', 'Outbreak (1995)', 'Incredibles, The (2004)', 'Finding Nemo (2003)', 'Donnie Darko (2001)']
Notorious (1946) ,  2001: A Space Odyssey (1968)	['Shining, The (1980)', 'Stargate (1994)']
Boogie Nights (1997) , Die Hard (1988) , When Harry Met Sally... (1989) , Jerry Maguire (1996)	"['Ghost (1990)', ""Schindler's List (1993)"", 'Crimson Tide (1995)', 'Alien (1979)', 'Beauty and the Beast (1991)', 'Outbreak (1995)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', ""Ferris Bueller's Day Off (1986)""]"
Primal Fear (1996) ,  Forrest Gump (1994)	['Aliens (1986)', 'X-Men (2000)']
Wrong Trousers, The (1993) ,  Godfather, The (1972) ,  Lone Star (1996)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Wedding Singer, The (1998) , Air Force One (1997) , Murder at 1600 (1997) , Good Will Hunting (1997)	['American Pie (1999)', 'Taxi Driver (1976)', 'Crimson Tide (1995)', 'Firm, The (1993)', 'GoldenEye (1995)', 'Catch Me If You Can (2002)', 'Net, The (1995)', 'Green Mile, The (1999)']
Rock, The (1996) ,  Face/Off (1997) ,  Con Air (1997)	['Independence Day (a.k.a. ID4) (1996)', 'Star Trek: Generations (1994)']
Wrong Trousers, The (1993) , Amadeus (1984) , Bottle Rocket (1996) , Donnie Brasco (1997)	"['Inception (2010)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Departed, The (2006)', 'Eternal Sunshine of the Spotless Mind (2004)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Pretty Woman (1990)']"
While You Were Sleeping (1995) , Heathers (1989) , Sleepers (1996) , Godfather, The (1972)	"[""Schindler's List (1993)"", 'Godfather: Part II, The (1974)', 'Lord of the Rings: The Two Towers, The (2002)', 'Sleepless in Seattle (1993)', 'Titanic (1997)', 'Harry Potter and the Chamber of Secrets (2002)', 'Net, The (1995)', 'Terminator, The (1984)']"
Unbearable Lightness of Being, The (1988) ,  Day the Earth Stood Still, The (1951)	"['Beauty and the Beast (1991)', ""Ocean's Eleven (2001)""]"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) , Bulletproof (1996) , Liar Liar (1997) , Bogus (1996)	['American Pie (1999)', 'Toy Story (1995)', 'Cliffhanger (1993)', 'Apocalypse Now (1979)', 'Lord of the Rings: The Return of the King, The (2003)', 'Groundhog Day (1993)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Net, The (1995)']
Apt Pupil (1998) , Independence Day (ID4) (1996) , Georgia (1995) , Good Will Hunting (1997)	['Beauty and the Beast (1991)', 'GoldenEye (1995)', 'Catch Me If You Can (2002)', 'Harry Potter and the Chamber of Secrets (2002)']
Apt Pupil (1998) ,  In & Out (1997)	['Beauty and the Beast (1991)', 'Harry Potter and the Chamber of Secrets (2002)']
Pulp Fiction (1994) , M*A*S*H (1970) , Some Like It Hot (1959) , Lawrence of Arabia (1962)	['Kill Bill: Vol. 1 (2003)', 'Aladdin (1992)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Fight Club (1999)']
Killing Fields, The (1984) , Amistad (1997) , Apostle, The (1997) , Rainmaker, The (1997)	['Apollo 13 (1995)', 'Cliffhanger (1993)', 'Outbreak (1995)', 'Titanic (1997)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Clear and Present Danger (1994)']
To Kill a Mockingbird (1962) , Silence of the Lambs, The (1991) , 12 Angry Men (1957) , Batman (1989)	['Ghost (1990)', 'Trainspotting (1996)', 'Clueless (1995)', 'Crimson Tide (1995)', 'Outbreak (1995)', 'WALL·E (2008)', 'Memento (2000)', 'Aliens (1986)']
Snow White and the Seven Dwarfs (1937) ,  Wallace & Gromit: The Best of Aardman Animation (1996) ,  Taxi Driver (1976)	['Trainspotting (1996)', 'Apocalypse Now (1979)']
Wrong Trousers, The (1993) ,  Chasing Amy (1997)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Toy Story (1995) , Schindler's List (1993) , GoodFellas (1990) , Donnie Brasco (1997)	['Saving Private Ryan (1998)', 'Incredibles, The (2004)', 'Departed, The (2006)', 'Godfather, The (1972)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Finding Nemo (2003)']
That Thing You Do! (1996) , Independence Day (ID4) (1996) , Conspiracy Theory (1997) , Game, The (1997)	['Full Metal Jacket (1987)', 'Jumanji (1995)', 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Sixth Sense, The (1999)']
Lawrence of Arabia (1962) ,  Seventh Seal, The (Sjunde inseglet, Det) (1957)	['WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Conspiracy Theory (1997) , Titanic (1997) , Star Wars (1977) , Dante's Peak (1997)	['Dances with Wolves (1990)', 'Shining, The (1980)', 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Clear and Present Danger (1994)', 'Star Trek: Generations (1994)']
